角色,根角色描述,PT-派生角色,PT- 派生描述
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5114S_01,大庆油田_大庆油田页岩油勘探开发指挥部通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5117P_01,大庆油田_大庆油田页岩油研究院通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5112F_01,大庆油田_大庆油田重庆分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5116F_01,大庆油田_大庆油田重庆分公司四川项目部通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5117J_01,大庆油田_大庆油田州十三合作区块本部通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5117H_01,大庆油田_大庆油田州十三合作区块通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5117M_01,大庆油田_大庆油田州十三合作区块-肇413项目部通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5117K_01,大庆油田_大庆油田州十三合作区块-州13（1-2）项目部通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5117L_01,大庆油田_大庆油田州十三合作区块-州13（3-6）项目部通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5115J_01,大庆油田_资金结算中心（资产租赁业务）国内非合作通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5115G_01,大庆油田_资金结算中心国际业务通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5112G_01,大庆油田_资金结算中心国内非合作通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5115F_01,大庆油田_资金结算中心国内合作通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5115H_01,大庆油田_资金结算中心科研开发通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5111H_01,大庆油田_大庆油田有限责任公司新疆分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT51112_01,大庆油田_大庆油田有限责任公司经费科通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5111K_01,大庆油田_大庆油田电力运维分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1100_PT5111L_01,大庆油田_大庆油田新能源研究开发分公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1104_PT5116R_01,大庆油田_中油电能电力技术服务公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1104_PT5116S_01,大庆油田_中油电能电力生产保障公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1104_PT5116N_01,大庆油田_中油电能供电公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1104_PT5114T_01,大庆油田_中国石油集团电能有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1104_PT5116Q_01,大庆油田_中油电能气电公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1104_PT5116M_01,大庆油田_中油电能热电二公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1104_PT5116U_01,大庆油田_中油电能热电一公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1105_PT5114B_01,大庆油田_大庆油田售电有限责任公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1106_PT5114C_01,大庆油田_吉林中油电能售电有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1107_PT5114D_01,大庆油田_辽宁中油电能售电有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1108_PT5114F_01,大庆油田_天津中油电能售电有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1109_PT5114G_01,大庆油田_内蒙古中油电能售电有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1110_PT5114H_01,大庆油田_陕西中油电能售电有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1111_PT5114J_01,大庆油田_宁夏中油电能售电有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1112_PT5114K_01,大庆油田_甘肃中油电能售电有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1113_PT5114L_01,大庆油田_新疆中油电能售电有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1114_PT5114M_01,大庆油田_四川中油电能售电有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1115_PT5114N_01,大庆油田_广西中油电能售电有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1116_PT5114P_01,大庆油田_广东中油电能售电有限公司通用工厂_货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1129_PT5115K_01,大庆油田_大庆油田设计院巴州通用工厂  _货物移动_操作
ZB_SAA_MM_PT5_01,货物移动组织根角色,Z_SCE_MM_1129_PT5115L_01,大庆油田_大庆油田设计院北京通用工厂    _货物移动_操作
